No,SQ1,SQ2,SQ3,SQ4,IQ1,IQ2,IQ3,SAT1,SAT2,SAT3,SAT4,PU1,PU2,PU3,PU4,CI1,CI2,CI3,HM1,HM2,HM3
1,5,4,5,4,5,5,4,4,4,4,4,5,4,3,4,4,4,3,4,4,4
2,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5
3,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4
4,4,4,3,4,2,4,4,4,4,3,4,3,4,3,3,4,4,3,4,5,4
5,4,3,4,4,3,3,3,4,3,4,3,4,4,3,5,4,5,3,4,4,4
6,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
7,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5
8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,2,4
9,4,4,5,3,4,4,4,5,4,4,5,5,5,5,4,4,5,3,1,1,2
10,4,4,5,3,4,4,2,4,5,4,1,5,4,4,4,5,3,4,4,4,3
11,4,4,5,5,4,4,3,4,4,3,4,4,5,4,5,5,5,4,4,5,4
12,5,5,5,2,4,5,4,4,4,4,5,4,4,3,4,4,4,3,4,4,5
13,4,3,3,4,3,5,2,4,5,4,5,5,5,5,5,5,5,4,4,5,5
14,4,4,5,4,5,5,4,4,4,4,4,5,4,5,5,5,5,4,5,5,5
15,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
16,4,5,5,5,5,5,3,4,5,3,4,5,5,5,5,5,5,3,4,4,4
17,5,4,3,5,4,5,4,4,4,4,5,5,4,5,1,5,5,4,5,4,5
18,4,5,4,4,4,4,3,5,5,4,5,5,5,4,5,5,5,5,4,4,5
19,4,5,5,4,5,5,4,3,5,4,4,4,4,4,4,5,4,3,4,4,4
20,5,4,4,4,4,5,3,4,4,3,4,3,4,5,5,3,5,3,4,5,4
21,5,4,5,4,4,5,2,5,5,4,5,5,5,4,5,5,5,5,5,5,5
22,5,5,5,5,4,4,4,4,4,4,5,4,4,4,5,4,2,4,5,5,5
23,4,3,4,2,4,3,2,3,3,3,2,3,3,2,3,2,3,2,3,3,3
24,4,4,4,4,5,5,4,5,5,5,4,5,5,5,5,4,4,3,5,5,4
25,5,5,4,4,5,5,4,5,5,5,4,5,5,5,5,5,5,4,2,5,4
26,3,3,3,4,5,3,4,4,5,4,4,4,3,5,5,4,5,3,3,4,4
27,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5
28,5,5,4,4,5,4,3,4,4,5,5,5,4,4,4,5,5,4,4,4,5
29,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,4,4,4,5
30,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,4
31,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3
32,5,5,5,5,5,4,3,5,4,5,5,5,5,5,5,5,5,5,4,5,5
33,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4
34,5,5,5,4,5,5,4,4,5,3,4,5,4,4,4,3,4,3,4,3,4
35,5,5,4,5,5,5,5,5,4,4,5,4,5,5,5,4,5,4,5,4,5
36,5,5,4,4,4,4,3,3,4,4,4,5,5,5,5,5,5,4,5,5,4
37,4,4,3,4,4,4,3,4,4,4,4,5,5,4,5,4,5,4,4,4,4
38,4,5,4,3,4,4,4,4,4,4,5,5,5,4,5,5,4,4,3,5,4
39,5,5,5,4,5,5,3,5,5,5,5,5,5,4,5,4,5,4,5,5,5
40,4,4,3,4,4,3,4,4,3,3,4,4,4,3,4,4,4,3,3,4,3
41,5,5,5,4,5,5,5,4,4,4,5,4,4,4,5,4,4,3,4,4,4
42,4,4,4,4,4,4,3,4,5,5,4,5,5,4,4,4,5,4,5,5,4
43,4,5,4,4,3,3,4,4,4,4,4,3,2,3,4,4,3,3,4,4,4
44,4,4,4,3,4,4,3,5,4,4,4,3,3,3,3,2,3,3,3,3,3
45,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,4,1,5,5,5,5
46,4,5,4,4,5,5,5,5,4,5,5,4,3,4,5,4,5,3,4,4,5
47,4,4,4,3,4,4,2,4,3,4,3,4,3,4,3,3,2,4,4,3,2
48,4,4,4,3,3,3,5,4,4,4,4,4,4,4,5,4,5,4,3,3,5
49,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4
50,4,4,5,4,5,4,4,4,4,4,5,5,5,4,5,5,5,4,5,5,5
51,4,3,5,4,5,4,4,4,4,5,4,4,5,3,4,4,4,3,4,5,5
52,4,4,5,3,4,3,4,3,4,4,5,3,4,3,4,3,4,4,3,3,3
53,4,5,4,4,4,4,4,5,4,4,5,4,5,3,5,5,5,4,4,4,4
54,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,2,4,4,3,4,3
55,5,5,3,3,3,4,2,3,4,4,2,4,4,3,5,2,2,3,5,5,5
56,4,4,5,4,5,4,4,5,4,4,4,4,4,4,5,3,4,4,3,5,5
57,4,4,4,4,3,4,3,3,3,2,3,4,4,3,4,2,3,1,3,4,3
58,4,4,5,4,2,5,5,4,4,4,1,4,4,5,4,5,4,4,1,4,4
59,4,5,4,4,5,5,5,4,5,5,2,5,5,4,5,5,5,4,4,3,5
60,5,5,5,4,4,4,4,5,5,5,5,5,5,4,5,5,5,4,4,5,5
61,5,5,5,5,1,3,3,1,2,5,2,2,3,5,5,2,5,1,1,1,3
62,5,5,5,5,5,5,5,5,5,4,4,5,5,3,4,5,5,5,5,1,5
63,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,4,5,4,4,4,5
64,4,4,4,3,4,3,2,4,4,4,3,4,4,4,4,4,4,3,4,3,4
65,4,4,5,4,5,5,5,5,5,4,5,4,4,4,5,4,4,4,4,4,5
66,4,5,4,4,5,5,5,5,4,4,4,5,4,4,5,5,5,4,4,4,5
67,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,4
68,5,5,5,4,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
69,4,4,4,4,4,5,5,4,4,4,3,4,4,4,4,4,4,4,2,4,5
70,5,4,5,5,5,5,2,5,5,5,4,5,4,4,5,5,5,4,4,5,5
71,5,4,4,4,2,4,1,2,2,2,2,4,1,1,4,3,3,2,4,5,4
72,4,4,5,5,5,5,5,4,4,5,5,4,4,5,5,4,5,4,3,4,5
73,4,3,5,4,4,4,3,4,4,4,4,4,3,3,3,4,4,3,3,4,4
74,3,4,4,4,3,2,4,2,2,2,2,3,2,1,2,2,3,1,2,3,4
75,4,4,5,4,5,4,3,4,4,4,5,4,4,4,4,5,5,4,4,4,5
76,5,5,5,4,5,4,3,4,4,4,4,4,5,5,4,4,3,3,4,4,4
77,5,5,5,4,5,5,4,4,4,4,4,4,5,4,4,4,4,5,3,4,4
78,5,5,5,4,5,4,3,5,5,5,5,5,5,3,5,3,4,3,3,5,3
79,4,5,5,4,5,5,4,5,4,5,2,5,4,5,3,4,3,5,4,4,4
80,5,5,5,4,5,4,5,4,4,4,4,5,5,3,5,5,5,5,4,5,4
81,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,3,3,3,5
82,4,4,4,4,4,4,2,4,4,3,4,5,5,4,4,3,4,3,2,4,4
83,3,4,4,3,4,3,3,4,3,3,4,3,3,3,3,4,4,3,3,4,4
84,4,4,4,4,4,4,3,4,3,3,3,3,4,4,3,3,4,3,3,3,4
85,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,3,5
86,4,5,4,4,5,4,4,4,4,4,4,4,3,3,5,3,4,3,3,3,5
87,4,5,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,3,4,4
88,4,4,3,2,5,4,3,4,4,3,4,4,4,4,5,5,5,4,5,5,5
89,5,5,4,5,4,5,4,5,5,5,5,5,5,5,1,5,5,4,4,4,5
90,4,4,4,3,4,4,4,4,4,4,5,4,4,3,4,3,4,3,3,3,4
91,5,5,5,5,5,3,5,5,4,5,5,5,3,3,5,4,5,4,5,5,5
92,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
93,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
94,4,5,5,4,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5
95,5,5,5,5,5,5,4,5,4,5,4,5,4,5,5,5,5,5,5,5,5
96,5,5,4,4,4,5,3,4,5,4,4,5,5,5,5,4,5,4,4,2,4
97,4,4,4,3,4,4,4,4,4,4,5,4,4,4,5,4,5,4,4,4,5
98,5,5,5,3,4,4,3,4,4,4,4,4,4,3,4,4,4,3,2,2,4
99,4,5,4,5,4,5,5,4,4,4,2,4,5,4,2,5,5,3,3,3,5
100,3,2,3,3,2,3,3,4,3,4,4,3,2,2,3,4,5,5,4,5,5
101,3,2,2,3,3,4,3,4,5,5,5,3,4,3,4,4,3,3,4,3,3
102,2,3,2,3,4,3,3,4,4,5,4,2,3,2,3,4,3,4,3,4,4
103,3,3,3,3,5,4,4,3,4,4,3,3,4,4,3,4,3,3,4,3,4
